,Title,Post number,Date,Nickname,Link
12,강경젓갈 축제 김치 살 곳?,673901,2024.10.17. 18:09,사랑둥이,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673901&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzkwMSwiaXNzdWVkQXQiOjE3MzI2MDYyNTY5NjMsImNhZmVJZCI6MjEyOTAzNjl9.Pu9K8XmxC33devZPs6FTIrVVSHc6MA6tfbQvsz8icPc&where=search&referrerAllArticles=true
13,강경젓갈축제 사과 맛나네요~,673898,2024.10.17. 17:54,gdjklg,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673898&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3Mzg5OCwiaXNzdWVkQXQiOjE3MzI2MDYyNTY5NzcsImNhZmVJZCI6MjEyOTAzNjl9.8hYKnUgrrxz58SIEwsgSuh7M7i25nJDBHtf1VBcIv_E&where=search&referrerAllArticles=true
14,강경젓갈 축제,673869,2024.10.17. 13:08,찌이,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673869&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3Mzg2OSwiaXNzdWVkQXQiOjE3MzI2MDYyNTY5OTgsImNhZmVJZCI6MjEyOTAzNjl9.UIYjD_cYhRc2rxX5Jo33t-w-nYgtbbuiM7k5uqXrXWs&where=search&referrerAllArticles=true
15,강경 젓갈 축제기간 중 비 소식이 있던데..,673802,2024.10.16. 19:17,이젠집밥해먹자,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673802&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzgwMiwiaXNzdWVkQXQiOjE3MzI2MDYyNTcwMTksImNhZmVJZCI6MjEyOTAzNjl9.2eyGl4pz6bBvub2KlRH5TaeyBMMXyKymnRAwYL7EfvU&where=search&referrerAllArticles=true
16,[강경젓갈축제]문화누리카드 축제가맹점 안내,673773,2024.10.16. 14:20,용용2다잉,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673773&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3Mzc3MywiaXNzdWVkQXQiOjE3MzI2MDYyNTcwMzcsImNhZmVJZCI6MjEyOTAzNjl9.e2eX0SmamWhbfE2GSJnNqj8Nfv_AFXkdIXoC0yOuGUo&where=search&referrerAllArticles=true
17,강경젓갈축제 문화누리카드 이벤트,673767,2024.10.16. 14:08,용용2다잉,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673767&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3Mzc2NywiaXNzdWVkQXQiOjE3MzI2MDYyNTcwNTQsImNhZmVJZCI6MjEyOTAzNjl9.YaAGs0A5ZghecVHj2NakTG-SalO8IMQJ9BTMOmj_D_w&where=search&referrerAllArticles=true
18,2024 강경젓갈축제 안내(변경사항 포함),673763,2024.10.16. 13:29,논산시 홍보협력실,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673763&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3Mzc2MywiaXNzdWVkQXQiOjE3MzI2MDYyNTcwNzMsImNhZmVJZCI6MjEyOTAzNjl9.OiAOjrrD6TnsSEpreMCqimWmYG_45o4d0JOzPkNrGyg&where=search&referrerAllArticles=true
19,??강경젓갈축제(베베핀 해피콘서트)??,673749,2024.10.16. 09:52,물고기,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673749&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3Mzc0OSwiaXNzdWVkQXQiOjE3MzI2MDYyNTcwODksImNhZmVJZCI6MjEyOTAzNjl9.nhegv36_wz9H62VRBf9NfwE5OufP1PYm1ZplXZzK0Ec&where=search&referrerAllArticles=true
20,강경 젓갈 말고 뭐 있는데?,673715,2024.10.15. 18:26,논산시 홍보협력실,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673715&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzcxNSwiaXNzdWVkQXQiOjE3MzI2MDYyNTcxMDIsImNhZmVJZCI6MjEyOTAzNjl9.KGQJ1FcLfS8lHmPYMPBCvMZTFfDUsep25RpQLyGdgFc&where=search&referrerAllArticles=true
21,2024 강경젓갈축제 세부일정 등 안내,673643,2024.10.14. 21:26,논산시 홍보협력실,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673643&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzY0MywiaXNzdWVkQXQiOjE3MzI2MDYyNTcxMTYsImNhZmVJZCI6MjEyOTAzNjl9.MoffHo4T6mUdYWK5Y53qPU4e-bSKgAiVbKBkUhZH918&where=search&referrerAllArticles=true
22,2024 강경젓갈축제 홍보 영상,673536,2024.10.13. 16:44,논산시 홍보협력실,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673536&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzUzNiwiaXNzdWVkQXQiOjE3MzI2MDYyNTcxMzIsImNhZmVJZCI6MjEyOTAzNjl9.OHiltueTj3FTm70pj1StXsGfcttOWgDBHvwRHQZwAjA&where=search&referrerAllArticles=true
23,2024 강경젓갈축제 안내,673535,2024.10.13. 16:42,논산시 홍보협력실,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673535&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzUzNSwiaXNzdWVkQXQiOjE3MzI2MDYyNTcxNDUsImNhZmVJZCI6MjEyOTAzNjl9.1z9OoWdIbghseptGSrD_T2SP3-5a33TDm0Ot9Bbf5Sc&where=search&referrerAllArticles=true
24,2024강경젓갈축제!베베핀 키즈존 안내,673534,2024.10.13. 16:41,논산시 홍보협력실,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673534&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzUzNCwiaXNzdWVkQXQiOjE3MzI2MDYyNTcxNjAsImNhZmVJZCI6MjEyOTAzNjl9.27AUy_28zZH1duDu6Jt6V5w8cv-rR9Er3iz-Z2XceJQ&where=search&referrerAllArticles=true
25,KBS대전 아침마당 영상 안내(2024강경젓갈축제 홍보),673519,2024.10.13. 11:28,논산시 홍보협력실,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673519&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzUxOSwiaXNzdWVkQXQiOjE3MzI2MDYyNTcxNzUsImNhZmVJZCI6MjEyOTAzNjl9.b-BJ8qZxeB_dtoHc1XTYMgjD8DVnUEbKtNPpfoCP268&where=search&referrerAllArticles=true
26,2024 강경젓갈축제 안내,673496,2024.10.12. 21:42,논산시 홍보협력실,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673496&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzQ5NiwiaXNzdWVkQXQiOjE3MzI2MDYyNTcxODksImNhZmVJZCI6MjEyOTAzNjl9.T8dSwDeCHxRed35HbZHDrqOWl9w8ucnOiy43hZvgBkI&where=search&referrerAllArticles=true
27,[강경산소금문학관]영원한 청년작가 박범신 토크쇼(10.19.강경젓갈축제기간),673395,2024.10.11. 16:19,우기마미,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673395&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzM5NSwiaXNzdWVkQXQiOjE3MzI2MDYyNTcyMDYsImNhZmVJZCI6MjEyOTAzNjl9.ojWd_xeI-T7c_yTl68usFNX_DZOoSm63rGCfZ-XBk0w&where=search&referrerAllArticles=true
28,"논산시, 강경젓갈축제 대비 식품 안전 관리 강화",673350,2024.10.10. 23:49,논산시 홍보협력실,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=673350&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MzM1MCwiaXNzdWVkQXQiOjE3MzI2MDYyNTcyMjIsImNhZmVJZCI6MjEyOTAzNjl9.dOSuGSes_Qwkc9JsIIkJ2HY6sX6nVgGAThnRi16ULks&where=search&referrerAllArticles=true
29,논산의 가치 같이 - 강경젓갈편 프로그램 참여 가정을 모집합니다!,672647,2024.10.02. 13:35,논산시가족센터4,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21290369&page=1&userDisplay=50&inCafeSearch=true&searchBy=1&query=%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=672647&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjY3MjY0NywiaXNzdWVkQXQiOjE3MzI2MDYyNTcyMzYsImNhZmVJZCI6MjEyOTAzNjl9.C2uiF5L9sQpjSjvBG24pDfuTnXli9QMisQwBhp9C9QY&where=search&referrerAllArticles=true
